Authors,Pub.Year,Journal,Species,Taxon.group,Year/Year.Span,Population,Study.ID,Subset,NC,CombNC,NC.type,Trait.Name,Trait.Class,Fitness.Measure.Defined,Fit.Comp,Grad.linear.value,Grad.linear.StErr,Same.Study,Birds,Physical.Artifact,Other.Org.NC,Multiple.Species,Borderline.ambiguous.case
Alcantara et al,1997,Oikos,Olea europaea var. sylvestris,P,1992,"Sierra de la Pandera, province of Ja_n, southern Spain",1,1,N,N,NA,crop size: number of full-sized fruits produced,OtherMO,number of seeds dispersed,F,0.686,0.032097118,0,0,NA,NA,NA,0
Alcantara et al,1997,Oikos,Olea europaea var. sylvestris,P,1993,"Sierra de la Pandera, province of Ja_n, southern Spain",1,1,N,N,NA,crop size: number of full-sized fruits produced,OtherMO,number of seeds dispersed,F,1.162,0.025456335,0,0,NA,NA,NA,0
Alcantara et al,1997,Oikos,Olea europaea var. sylvestris,P,1992,"Sierra de la Pandera, province of Ja_n, southern Spain",1,2,N,N,NA,fruit width,OtherMO,number of seeds dispersed,F,0.27,0.035891851,0,0,NA,NA,NA,0
Alcantara et al,1997,Oikos,Olea europaea var. sylvestris,P,1993,"Sierra de la Pandera, province of Ja_n, southern Spain",1,2,N,N,NA,fruit width,OtherMO,number of seeds dispersed,F,0.714,0.033520143,0,0,NA,NA,NA,0
Alcantara et al,1997,Oikos,Olea europaea var. sylvestris,P,1992,"Sierra de la Pandera, province of Ja_n, southern Spain",1,3,N,N,NA,pulp/seed ratio: pulp dry weight divided by seed dry weight,OtherMO,number of seeds dispersed,F,0.187,0.033520143,0,0,NA,NA,NA,0
Alcantara et al,1997,Oikos,Olea europaea var. sylvestris,P,1993,"Sierra de la Pandera, province of Ja_n, southern Spain",1,3,N,N,NA,pulp/seed ratio: pulp dry weight divided by seed dry weight,OtherMO,number of seeds dispersed,F,-0.148,0.027511816,0,0,NA,NA,NA,0
Alcantara et al,1997,Oikos,Olea europaea var. sylvestris,P,1992,"Sierra de la Pandera, province of Ja_n, southern Spain",1,4,N,N,NA,ripening phenology (larger values indicate later starting of ripening season,Phen,number of seeds dispersed,F,0.436,0.032097118,0,0,NA,NA,NA,0
Alcantara et al,1997,Oikos,Olea europaea var. sylvestris,P,1993,"Sierra de la Pandera, province of Ja_n, southern Spain",1,4,N,N,NA,ripening phenology (larger values indicate later starting of ripening season,Phen,number of seeds dispersed,F,-0.068,0.02972541,0,0,NA,NA,NA,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2004,Cabana plot,2,5,N,N,NA,flower number,OtherLH,female/fruits,F,0.722,0.0157,1,0,NA,NA,NA,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2005,Cabana plot,2,5,N,N,NA,flower number,OtherLH,female/fruits,F,0.734,0.0188,1,0,NA,NA,NA,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2006,Cabana plot,2,5,N,N,NA,flower number,OtherLH,female/fruits,F,0.8348,0.0839,1,0,NA,NA,NA,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2007,Cabana plot,2,5,N,N,NA,flower number,OtherLH,female/fruits,F,0.6888,0.0149,1,0,NA,NA,NA,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2004,Cabana plot,2,6,N,N,NA,flower number,OtherLH,male/number of exported pollinaria,F,0.6177,0.0063,1,0,NA,NA,NA,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2005,Cabana plot,2,6,N,N,NA,flower number,OtherLH,male/number of exported pollinaria,F,0.7722,0.1067,1,0,NA,NA,NA,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2006,Cabana plot,2,6,N,N,NA,flower number,OtherLH,male/number of exported pollinaria,F,0.7383,0.0962,1,0,NA,NA,NA,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2007,Cabana plot,2,6,N,N,NA,flower number,OtherLH,male/number of exported pollinaria,F,0.7427,0.0897,1,0,NA,NA,NA,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2004,Cabana plot,2,7,Y,Y,C,nectary depth,OtherMO,female/fruits,F,0.0178,0.0463,1,0,0,1,1,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2005,Cabana plot,2,7,Y,Y,C,nectary depth,OtherMO,female/fruits,F,0.0697,0.0994,1,0,0,1,1,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2006,Cabana plot,2,7,Y,Y,C,nectary depth,OtherMO,female/fruits,F,0.0247,0.0596,1,0,0,1,1,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2007,Cabana plot,2,7,Y,Y,C,nectary depth,OtherMO,female/fruits,F,0.0162,0.0113,1,0,0,1,1,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2004,Cabana plot,2,8,Y,Y,C,nectary depth,OtherMO,male/number of exported pollinaria,F,0.2201,0.0463,1,0,0,1,1,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2005,Cabana plot,2,8,Y,Y,C,nectary depth,OtherMO,male/number of exported pollinaria,F,0.051,0.057,1,0,0,1,1,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2006,Cabana plot,2,8,Y,Y,C,nectary depth,OtherMO,male/number of exported pollinaria,F,0.134,0.1511,1,0,0,1,1,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2007,Cabana plot,2,8,Y,Y,C,nectary depth,OtherMO,male/number of exported pollinaria,F,0.1478,0.0646,1,0,0,1,1,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2004,Cabana plot,2,9,M,Y,C,osmophore area,OtherMO,female/fruits,F,-0.0068,0.0113,1,0,0,1,1,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2005,Cabana plot,2,9,M,Y,C,osmophore area,OtherMO,female/fruits,F,-0.0117,0.0153,1,0,0,1,1,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2006,Cabana plot,2,9,M,Y,C,osmophore area,OtherMO,female/fruits,F,-0.1186,0.0726,1,0,0,1,1,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2007,Cabana plot,2,9,M,Y,C,osmophore area,OtherMO,female/fruits,F,-0.0019,0.0107,1,0,0,1,1,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2004,Cabana plot,2,10,M,Y,C,osmophore area,OtherMO,male/number of exported pollinaria,F,-0.032,0.0352,1,0,0,1,1,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2005,Cabana plot,2,10,M,Y,C,osmophore area,OtherMO,male/number of exported pollinaria,F,-0.0123,0.0687,1,0,0,1,1,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2006,Cabana plot,2,10,M,Y,C,osmophore area,OtherMO,male/number of exported pollinaria,F,-0.3359,0.1374,1,0,0,1,1,0
Benitez-Vieyra et al,2012,Evolutionary Ecology,Cyclopogon elatus,P,2007,Cabana plot,2,10,M,Y,C,osmophore area,OtherMO,male/number of exported pollinaria,F,-0.1642,0.0584,1,0,0,1,1,0
Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,Nerodia sipedon,V,1994,Beaver marsh,3,11,N,N,NA,body size,Size,number of mating aggregations,M,0.341,0.246,0,0,NA,NA,NA,1
Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,Nerodia sipedon,V,1995,Beaver marsh,3,11,N,N,NA,body size,Size,number of mating aggregations,M,-0.017,0.186,0,0,NA,NA,NA,1
Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,Nerodia sipedon,V,1996,Beaver marsh,3,11,N,N,NA,body size,Size,number of mating aggregations,M,0.3,0.2368,0,0,NA,NA,NA,1
Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,Nerodia sipedon,V,1994,Beaver marsh,3,12,N,N,NA,body size,Size,number of mating partners,M,0.341,0.246,0,0,NA,NA,NA,1
Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,Nerodia sipedon,V,1995,Beaver marsh,3,12,N,N,NA,body size,Size,number of mating partners,M,0.109,0.148,0,0,NA,NA,NA,1
Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,Nerodia sipedon,V,1996,Beaver marsh,3,12,N,N,NA,body size,Size,number of mating partners,M,0.23,0.2294,0,0,NA,NA,NA,1
Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,Nerodia sipedon,V,1993,Barb's marsh,3,13,N,N,NA,body size,Size,number of partners,M,0.801,0.2323,0,0,NA,NA,NA,1
Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,Nerodia sipedon,V,1994,Barb's marsh,3,13,N,N,NA,body size,Size,number of partners,M,0.239,0.2567,0,0,NA,NA,NA,1
Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,Nerodia sipedon,V,1995,Barb's marsh,3,13,N,N,NA,body size,Size,number of partners,M,1.151,0.3265,0,0,NA,NA,NA,1
Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,Nerodia sipedon,V,1996,Barb's marsh,3,13,N,N,NA,body size,Size,number of partners,M,0.292,0.299,0,0,NA,NA,NA,1
Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,Nerodia sipedon,V,1994,Beaver marsh,3,14,N,N,NA,fat content,OtherMO,number of mating aggregations,M,0.249,0.2411,0,0,NA,NA,NA,1
Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,Nerodia sipedon,V,1995,Beaver marsh,3,14,N,N,NA,fat content,OtherMO,number of mating aggregations,M,-0.063,0.1875,0,0,NA,NA,NA,1
Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,Nerodia sipedon,V,1996,Beaver marsh,3,14,N,N,NA,fat content,OtherMO,number of mating aggregations,M,0.053,0.2163,0,0,NA,NA,NA,1
Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,Nerodia sipedon,V,1994,Beaver marsh,3,15,N,N,NA,fat content,OtherMO,number of mating partners,M,0.249,0.241,0,0,NA,NA,NA,1
Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,Nerodia sipedon,V,1995,Beaver marsh,3,15,N,N,NA,fat content,OtherMO,number of mating partners,M,0.048,0.1492,0,0,NA,NA,NA,1
Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,Nerodia sipedon,V,1996,Beaver marsh,3,15,N,N,NA,fat content,OtherMO,number of mating partners,M,0.032,0.2095,0,0,NA,NA,NA,1
Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,Nerodia sipedon,V,1993,Barb's marsh,3,16,N,N,NA,fat content,OtherMO,number of partners,M,0.342,0.2037,0,0,NA,NA,NA,1
Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,Nerodia sipedon,V,1994,Barb's marsh,3,16,N,N,NA,fat content,OtherMO,number of partners,M,0.133,0.2386,0,0,NA,NA,NA,1
Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,Nerodia sipedon,V,1995,Barb's marsh,3,16,N,N,NA,fat content,OtherMO,number of partners,M,0.312,0.3228,0,0,NA,NA,NA,1
Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,Nerodia sipedon,V,1996,Barb's marsh,3,16,N,N,NA,fat content,OtherMO,number of partners,M,0.115,0.2688,0,0,NA,NA,NA,1
Caruso et al.,2003,American Journal of Botany,Lobelia cardinalis,P,1999,CB,5,17,M,Y,C,corolla lobe length,OtherMO,number of fruits per plant,F,0.009,0.025,0,0,0,1,1,1
Caruso et al.,2003,American Journal of Botany,Lobelia cardinalis,P,2000,CB,5,17,M,Y,C,corolla lobe length,OtherMO,number of fruits per plant,F,0.154,0.046,0,0,0,1,1,1
Caruso et al.,2003,American Journal of Botany,Lobelia cardinalis,P,1999,CB,5,18,M,Y,C,corolla tube length,OtherMO,number of fruits per plant,F,0.011,0.025,0,0,0,1,1,1
Caruso et al.,2003,American Journal of Botany,Lobelia cardinalis,P,2000,CB,5,18,M,Y,C,corolla tube length,OtherMO,number of fruits per plant,F,0.099,0.05,0,0,0,1,1,1
Caruso et al.,2003,American Journal of Botany,Lobelia siphilitica,P,1999,CERA,5,19,M,Y,C,corolla lobe length,OtherMO,number of fruits per plant,F,-0.002,0.035,0,0,0,1,1,1
Caruso et al.,2003,American Journal of Botany,Lobelia siphilitica,P,2000,CERA,5,19,M,Y,C,corolla lobe length,OtherMO,number of fruits per plant,F,-0.05,0.023,0,0,0,1,1,1
Caruso et al.,2003,American Journal of Botany,Lobelia siphilitica,P,1999,CERA,5,20,M,Y,C,corolla lobe width,OtherMO,number of fruits per plant,F,-0.008,0.035,0,0,0,1,1,1
Caruso et al.,2003,American Journal of Botany,Lobelia siphilitica,P,2000,CERA,5,20,M,Y,C,corolla lobe width,OtherMO,number of fruits per plant,F,-0.019,0.023,0,0,0,1,1,1
Caruso et al.,2003,American Journal of Botany,Lobelia siphilitica,P,1999,CERA,5,21,M,Y,C,corolla tube length,OtherMO,number of fruits per plant,F,0.003,0.035,0,0,0,1,1,1
Caruso et al.,2003,American Journal of Botany,Lobelia siphilitica,P,2000,CERA,5,21,M,Y,C,corolla tube length,OtherMO,number of fruits per plant,F,-0.011,0.024,0,0,0,1,1,1
Caruso et al.,2003,American Journal of Botany,Lobelia siphilitica,P,1999,CERA,5,22,M,Y,C,stigma-nectary distance,OtherMO,number of fruits per plant,F,-0.02,0.035,0,0,0,1,1,1
Caruso et al.,2003,American Journal of Botany,Lobelia siphilitica,P,2000,CERA,5,22,M,Y,C,stigma-nectary distance,OtherMO,number of fruits per plant,F,0.029,0.023,0,0,0,1,1,1
Caruso et al.,2003,American Journal of Botany,Lobelia siphilitica,P,1999,Krumm,5,23,M,Y,C,corolla lobe length,OtherMO,number of fruits per plant,F,0.084,0.031,0,0,0,1,1,1
Caruso et al.,2003,American Journal of Botany,Lobelia siphilitica,P,2000,Krumm,5,23,M,Y,C,corolla lobe length,OtherMO,number of fruits per plant,F,0.102,0.052,0,0,0,1,1,1
Caruso et al.,2003,American Journal of Botany,Lobelia siphilitica,P,1999,Krumm,5,24,M,Y,C,corolla lobe width,OtherMO,number of fruits per plant,F,0.075,0.031,0,0,0,1,1,1
Caruso et al.,2003,American Journal of Botany,Lobelia siphilitica,P,2000,Krumm,5,24,M,Y,C,corolla lobe width,OtherMO,number of fruits per plant,F,0.068,0.053,0,0,0,1,1,1
Caruso et al.,2003,American Journal of Botany,Lobelia siphilitica,P,1999,Krumm,5,25,M,Y,C,corolla tube length,OtherMO,number of fruits per plant,F,0.055,0.032,0,0,0,1,1,1
Caruso et al.,2003,American Journal of Botany,Lobelia siphilitica,P,2000,Krumm,5,25,M,Y,C,corolla tube length,OtherMO,number of fruits per plant,F,0.136,0.048,0,0,0,1,1,1
Caruso et al.,2003,American Journal of Botany,Lobelia siphilitica,P,1999,Krumm,5,26,M,Y,C,stigma-nectary distance,OtherMO,number of fruits per plant,F,0.067,0.032,0,0,0,1,1,1
Caruso et al.,2003,American Journal of Botany,Lobelia siphilitica,P,2000,Krumm,5,26,M,Y,C,stigma-nectary distance,OtherMO,number of fruits per plant,F,0.105,0.05,0,0,0,1,1,1
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1994,Muro,6,27,M,Y,C,chick tarsus length,OtherMO,survival (recruitment to the breeding population),S,-0.04376235,0.22937654,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1995,Muro,6,27,M,Y,C,chick tarsus length,OtherMO,survival (recruitment to the breeding population),S,-0.226011228,0.25188037,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1996,Muro,6,27,M,Y,C,chick tarsus length,OtherMO,survival (recruitment to the breeding population),S,0.037727526,0.19937037,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1997,Muro,6,27,M,Y,C,chick tarsus length,OtherMO,survival (recruitment to the breeding population),S,0.056992962,0.10848723,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1998,Muro,6,27,M,Y,C,chick tarsus length,OtherMO,survival (recruitment to the breeding population),S,-0.040849391,0.33268822,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1999,Muro,6,27,M,Y,C,chick tarsus length,OtherMO,survival (recruitment to the breeding population),S,-0.704837692,0.51898546,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,2000,Muro,6,27,M,Y,C,chick tarsus length,OtherMO,survival (recruitment to the breeding population),S,0.117628875,0.32669232,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,2001,Muro,6,27,M,Y,C,chick tarsus length,OtherMO,survival (recruitment to the breeding population),S,0.114321351,0.17369939,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1994,Muro,6,28,M,Y,C,chick weight,Size,survival (recruitment to the breeding population),S,-0.089037598,0.22842674,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1995,Muro,6,28,M,Y,C,chick weight,Size,survival (recruitment to the breeding population),S,0.199318326,0.28016233,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1996,Muro,6,28,M,Y,C,chick weight,Size,survival (recruitment to the breeding population),S,0.170191358,0.20053371,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1997,Muro,6,28,M,Y,C,chick weight,Size,survival (recruitment to the breeding population),S,-0.030305075,0.16470774,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1998,Muro,6,28,M,Y,C,chick weight,Size,survival (recruitment to the breeding population),S,0.125487929,0.33358189,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1999,Muro,6,28,M,Y,C,chick weight,Size,survival (recruitment to the breeding population),S,0.491052927,0.54524677,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,2000,Muro,6,28,M,Y,C,chick weight,Size,survival (recruitment to the breeding population),S,0.085026117,0.32691836,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,2001,Muro,6,28,M,Y,C,chick weight,Size,survival (recruitment to the breeding population),S,-0.074139966,0.16146162,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1990,Pirio,6,29,M,Y,C,chick tarsus length,OtherMO,survival (recruitment to the breeding population),S,-1.426510584,0.60238109,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1991,Pirio,6,29,M,Y,C,chick tarsus length,OtherMO,survival (recruitment to the breeding population),S,1.79032751,2.11151405,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1992,Pirio,6,29,M,Y,C,chick tarsus length,OtherMO,survival (recruitment to the breeding population),S,0.364413926,0.31023554,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1993,Pirio,6,29,M,Y,C,chick tarsus length,OtherMO,survival (recruitment to the breeding population),S,0.117496208,0.43465373,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1994,Pirio,6,29,M,Y,C,chick tarsus length,OtherMO,survival (recruitment to the breeding population),S,0.400724267,0.36490733,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1995,Pirio,6,29,M,Y,C,chick tarsus length,OtherMO,survival (recruitment to the breeding population),S,0.538158964,0.28617616,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1996,Pirio,6,29,M,Y,C,chick tarsus length,OtherMO,survival (recruitment to the breeding population),S,-0.261218811,0.3534121,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1997,Pirio,6,29,M,Y,C,chick tarsus length,OtherMO,survival (recruitment to the breeding population),S,0.931262018,1.21303204,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1998,Pirio,6,29,M,Y,C,chick tarsus length,OtherMO,survival (recruitment to the breeding population),S,0.268817694,0.41649519,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1999,Pirio,6,29,M,Y,C,chick tarsus length,OtherMO,survival (recruitment to the breeding population),S,-0.234928705,0.50760675,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,2000,Pirio,6,29,M,Y,C,chick tarsus length,OtherMO,survival (recruitment to the breeding population),S,0.530603121,0.32265597,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,2001,Pirio,6,29,M,Y,C,chick tarsus length,OtherMO,survival (recruitment to the breeding population),S,-0.054535617,0.7900313,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1990,Pirio,6,30,M,Y,C,chick weight,Size,survival (recruitment to the breeding population),S,0.406236406,0.65875748,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1991,Pirio,6,30,M,Y,C,chick weight,Size,survival (recruitment to the breeding population),S,3.796211811,4.93019727,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1992,Pirio,6,30,M,Y,C,chick weight,Size,survival (recruitment to the breeding population),S,0.472905376,0.35811593,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1993,Pirio,6,30,M,Y,C,chick weight,Size,survival (recruitment to the breeding population),S,-0.059088467,0.55765381,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1994,Pirio,6,30,M,Y,C,chick weight,Size,survival (recruitment to the breeding population),S,-0.348872989,0.36895598,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1995,Pirio,6,30,M,Y,C,chick weight,Size,survival (recruitment to the breeding population),S,-0.005919388,0.28463277,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1996,Pirio,6,30,M,Y,C,chick weight,Size,survival (recruitment to the breeding population),S,0.461509356,0.35287791,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1997,Pirio,6,30,M,Y,C,chick weight,Size,survival (recruitment to the breeding population),S,-0.496708399,1.21816711,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1998,Pirio,6,30,M,Y,C,chick weight,Size,survival (recruitment to the breeding population),S,0.236961024,0.41566047,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1999,Pirio,6,30,M,Y,C,chick weight,Size,survival (recruitment to the breeding population),S,-0.007643051,0.5174041,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,2000,Pirio,6,30,M,Y,C,chick weight,Size,survival (recruitment to the breeding population),S,0.157813437,0.33280232,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,2001,Pirio,6,30,M,Y,C,chick weight,Size,survival (recruitment to the breeding population),S,1.199582406,0.85969727,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1991,Rouviere,6,31,M,Y,C,chick tarsus length,OtherMO,survival (recruitment to the breeding population),S,0.547515493,0.3945694,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1992,Rouviere,6,31,M,Y,C,chick tarsus length,OtherMO,survival (recruitment to the breeding population),S,0.203348995,0.40484303,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1993,Rouviere,6,31,M,Y,C,chick tarsus length,OtherMO,survival (recruitment to the breeding population),S,-0.139206092,0.29398202,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1994,Rouviere,6,31,M,Y,C,chick tarsus length,OtherMO,survival (recruitment to the breeding population),S,-0.332686522,0.39567515,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1995,Rouviere,6,31,M,Y,C,chick tarsus length,OtherMO,survival (recruitment to the breeding population),S,0.215026664,0.23219362,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1996,Rouviere,6,31,M,Y,C,chick tarsus length,OtherMO,survival (recruitment to the breeding population),S,-0.052506671,0.16025482,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1997,Rouviere,6,31,M,Y,C,chick tarsus length,OtherMO,survival (recruitment to the breeding population),S,0.062463034,0.17362483,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1998,Rouviere,6,31,M,Y,C,chick tarsus length,OtherMO,survival (recruitment to the breeding population),S,-0.085820888,0.20407324,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1999,Rouviere,6,31,M,Y,C,chick tarsus length,OtherMO,survival (recruitment to the breeding population),S,0.211055876,0.20573762,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,2000,Rouviere,6,31,M,Y,C,chick tarsus length,OtherMO,survival (recruitment to the breeding population),S,-0.030436711,0.19647677,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,2001,Rouviere,6,31,M,Y,C,chick tarsus length,OtherMO,survival (recruitment to the breeding population),S,-0.064015778,0.34653102,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1991,Rouviere,6,32,M,Y,C,chick weight,Size,survival (recruitment to the breeding population),S,0.065809118,0.43330832,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1992,Rouviere,6,32,M,Y,C,chick weight,Size,survival (recruitment to the breeding population),S,0.471961438,0.44449167,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1993,Rouviere,6,32,M,Y,C,chick weight,Size,survival (recruitment to the breeding population),S,0.456244413,0.30693615,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1994,Rouviere,6,32,M,Y,C,chick weight,Size,survival (recruitment to the breeding population),S,0.883344416,0.41274833,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1995,Rouviere,6,32,M,Y,C,chick weight,Size,survival (recruitment to the breeding population),S,0.192143385,0.24575099,0,1,1,0,0,0
Charmantier et al.,2004,Journal of Evolutionary Biology,Parus caeruleus,V,1996,Rouviere,6,32,M,Y,C,chick weight,Size,survival (recruitment to the breeding population),S,0.411466875,0.15625373,0,1,1,0,0,0
